Location,Total Weight,Ulth Offer,Total Value,Quantity,Item,aura,Category,Source,Appraise DC,Appraised Value,Die Roll,Ulthirmbor Multiplier,Value,Market,Weight,Party,M,Sale Value Per.,Estimated Value,Qty.,PC desc.,Total Weight.,Serial.,Source.,Location.,U,V,W
Sold to Ulthirmbor,1,150,150,1,Rare necromantic components (300 gp worth),,equipment,Nightwalker,25,--,7,1,150,300,1,--,,150,--,1,Rare necromantic components (300 gp worth),1,1237,Nightwalker,Sold to Ulthirmbor,,,
Sold to Ulthirmbor,0.4,1.2,1,4,Thin wooden stick,,equipment,Nightwalker,15,--,3,1.2,0.25,0.5,0.1,--,,0.25,--,4,Thin wooden stick,0.4,1238,Nightwalker,Sold to Ulthirmbor,,,
Sold to Ulthirmbor,6,1.35,1.5,6,Water in vials (6 vials),,equipment,Nightwalker,15,--,3,0.9,0.25,0.5,1,--,,0.25,--,6,Water in vials (6 vials),6,1239,Nightwalker,Sold to Ulthirmbor,,,
Sold to Ulthirmbor,1,50,50,1,"Black silk cloth, 6 feet diameter",,garments,Nightwalker,15,--,8,1,50,100,1,--,,50,--,1,"Black silk cloth, 6 feet diameter",1,1240,Nightwalker,Sold to Ulthirmbor,,,
Sold to Ulthirmbor,1,50,50,1,Black silk robe - exquisitely tailored,,garments,Nightwalker,20,100,16,1,50,100,1,--,,50,100,1,Black silk robe - exquisitely tailored,1,1241,Nightwalker,Sold to Ulthirmbor,,,
Sold to Ulthirmbor,1,25,25,1,Bone-decorated robe - macabre but well-made,,garments,Nightwalker,15,50,18,1,25,50,1,--,,25,50,1,Bone-decorated robe - macabre but well-made,1,1242,Nightwalker,Sold to Ulthirmbor,,,
Sold to Ulthirmbor,1,15,15,1,Dark cloak - fine wool,,garments,Nightwalker,15,30,18,1,15,30,1,--,,15,30,1,Dark cloak - fine wool,1,1243,Nightwalker,Sold to Ulthirmbor,,,
Sold to Ulthirmbor,1,15,15,1,Fine cloak - quality fabric,,garments,Nightwalker,15,--,3,1,15,30,1,--,,15,--,1,Fine cloak - quality fabric,1,1244,Nightwalker,Sold to Ulthirmbor,,,
Sold to Ulthirmbor,3,45,45,3,"Fine cloak, Small - quality fabric",,garments,Nightwalker,15,30,11,1,15,30,1,--,,15,90,3,"Fine cloak, Small - quality fabric",3,1245,Nightwalker,Sold to Ulthirmbor,,,
Sold to Ulthirmbor,1,25,25,1,Heavy leather gauntlets - well-crafted,,garments,Nightwalker,15,--,8,1,25,50,1,--,,25,--,1,Heavy leather gauntlets - well-crafted,1,1246,Nightwalker,Sold to Ulthirmbor,,,
Sold to Ulthirmbor,2,15,15,2,Leather bracers - finely tooled,,garments,Nightwalker,15,15,20,1,7.5,15,1,--,,7.5,30,2,Leather bracers - finely tooled,2,1247,Nightwalker,Sold to Ulthirmbor,,,
Sold to Ulthirmbor,1,10,10,1,Leather gloves - fine quality,,garments,Nightwalker,15,20,18,1,10,20,1,--,,10,20,1,Leather gloves - fine quality,1,1248,Nightwalker,Sold to Ulthirmbor,,,
Sold to Ulthirmbor,1,37.5,37.5,1,Shimmering cloak - fine silk with illusion patterns,,garments,Nightwalker,20,--,15,1,37.5,75,1,--,,37.5,--,1,Shimmering cloak - fine silk with illusion patterns,1,1249,Nightwalker,Sold to Ulthirmbor,,,
Sold to Ulthirmbor,1,25,25,1,Tattered blood-stained cloak - fine fabric,,garments,Nightwalker,12,50,10,1,25,50,1,--,,25,50,1,Tattered blood-stained cloak - fine fabric,1,1250,Nightwalker,Sold to Ulthirmbor,,,
Sold to Ulthirmbor,0.04,320,300,4,"Amethyst gems (4 gems, 100 gp each = 400 gp)",,gem,Nightwalker,20,--,13,1.066666667,75,100,0.01,--,,75,--,4,"Amethyst gems (4 gems, 100 gp each = 400 gp)",0.04,1251,Nightwalker,Sold to Ulthirmbor,,,
Sold to Ulthirmbor,0.03,1200,1125,3,"Black diamond gems (3 gems, 500 gp each = 1,500 gp)",,gem,Nightwalker,25,--,6,1.066666667,375,500,0.01,--,,375,--,3,"Black diamond gems (3 gems, 500 gp each = 1,500 gp)",0.03,1252,Nightwalker,Sold to Ulthirmbor,,,
Sold to Ulthirmbor,0.04,320,300,4,"Black pearls (4 gems, 100 gp each = 400 gp)",,gem,Nightwalker,25,--,2,1.066666667,75,100,0.01,--,,75,--,4,"Black pearls (4 gems, 100 gp each = 400 gp)",0.04,1253,Nightwalker,Sold to Ulthirmbor,,,
Sold to Ulthirmbor,0.03,1200,1125,3,"Black sapphires (3 gems, 500 gp each = 1,500 gp)",,gem,Nightwalker,20,--,13,1.066666667,375,500,0.01,--,,375,--,3,"Black sapphires (3 gems, 500 gp each = 1,500 gp)",0.03,1254,Nightwalker,Sold to Ulthirmbor,,,
Sold to Ulthirmbor,0.06,240,225,6,"Carnelian gems (6 gems, 50 gp each = 300 gp)",,gem,Nightwalker,15,--,2,1.066666667,37.5,50,0.01,--,,37.5,--,6,"Carnelian gems (6 gems, 50 gp each = 300 gp)",0.06,1255,Nightwalker,Sold to Ulthirmbor,,,
Sold to Ulthirmbor,0.04,320,300,4,"Emeralds (4 gems, 100 gp each = 400 gp)",,gem,Nightwalker,15,--,5,1.066666667,75,100,0.01,--,,75,--,4,"Emeralds (4 gems, 100 gp each = 400 gp)",0.04,1256,Nightwalker,Sold to Ulthirmbor,,,
Sold to Ulthirmbor,0.02,160,150,2,Large white pearl - flawless,,gem,Nightwalker,20,100,16,1.066666667,75,100,0.01,--,,75,200,2,Large white pearl - flawless,0.02,1257,Nightwalker,Sold to Ulthirmbor,,,
Sold to Ulthirmbor,0.08,64,60,8,"Obsidian gems (8 gems, 10 gp each = 80 gp)",,gem,Nightwalker,15,--,6,1.066666667,7.5,10,0.01,--,,7.5,--,8,"Obsidian gems (8 gems, 10 gp each = 80 gp)",0.08,1258,Nightwalker,Sold to Ulthirmbor,,,
Sold to Ulthirmbor,0.36,1440,1350,36,Onyx gems for animate dead,,gem,Nightwalker,15,--,2,1.066666667,37.5,50,0.01,--,,37.5,--,36,Onyx gems for animate dead,0.36,1259,Nightwalker,Sold to Ulthirmbor,,,
Sold to Ulthirmbor,0.12,480,450,12,"Onyx gems for animate dead (12 gems, 50 gp each = 600 gp)",,gem,Nightwalker,15,50,16,1.066666667,37.5,50,0.01,--,,37.5,600,12,"Onyx gems for animate dead (12 gems, 50 gp each = 600 gp)",0.12,1260,Nightwalker,Sold to Ulthirmbor,,,
Sold to Ulthirmbor,0.1,15,15,1,Bone amulet - carved in shape of rib cage,,jewelry,Nightwalker,20,--,9,1,15,30,0.1,--,,15,--,1,Bone amulet - carved in shape of rib cage,0.1,1261,Nightwalker,Sold to Ulthirmbor,,,
Sold to Ulthirmbor,0.1,10,10,1,Bone amulet - finely carved,,jewelry,Nightwalker,20,--,11,1,10,20,0.1,--,,10,--,1,Bone amulet - finely carved,0.1,1262,Nightwalker,Sold to Ulthirmbor,,,
Sold to Ulthirmbor,0.1,90,100,1,Electrum dragon skull holy symbol,,jewelry,Nightwalker,20,--,12,0.9,100,200,0.1,--,,100,--,1,Electrum dragon skull holy symbol,0.1,1263,Nightwalker,Sold to Ulthirmbor,,,
Sold to Ulthirmbor,0.01,67.5,75,1,Gold ring - ornate design,,jewelry,Nightwalker,20,--,5,0.9,75,150,0.01,--,,75,--,1,Gold ring - ornate design,0.01,1264,Nightwalker,Sold to Ulthirmbor,,,
Sold to Ulthirmbor,0.01,33.75,37.5,1,Gold ring with arcane symbols,,jewelry,Nightwalker,20,--,12,0.9,37.5,75,0.01,--,,37.5,--,1,Gold ring with arcane symbols,0.01,1265,Nightwalker,Sold to Ulthirmbor,,,
Sold to Ulthirmbor,0.01,45,50,1,Gold ring with intricate protective runes,,jewelry,Nightwalker,20,--,10,0.9,50,100,0.01,--,,50,--,1,Gold ring with intricate protective runes,0.01,1266,Nightwalker,Sold to Ulthirmbor,,,
Sold to Ulthirmbor,0.01,45,50,1,Gold ring with protective runes,,jewelry,Nightwalker,20,--,9,0.9,50,100,0.01,--,,50,--,1,Gold ring with protective runes,0.01,1267,Nightwalker,Sold to Ulthirmbor,,,
Sold to Ulthirmbor,0.01,45,50,1,Gold ring with protective runes,,jewelry,Nightwalker,20,--,7,0.9,50,100,0.01,--,,50,--,1,Gold ring with protective runes,0.01,1268,Nightwalker,Sold to Ulthirmbor,,,
Sold to Ulthirmbor,0.1,67.5,75,1,Jeweled headband - silver with sapphires,,jewelry,Nightwalker,20,--,14,0.9,75,150,0.1,--,,75,--,1,Jeweled headband - silver with sapphires,0.1,1269,Nightwalker,Sold to Ulthirmbor,,,
Sold to Ulthirmbor,0.1,12.5,12.5,1,Macabre necklace made from vertebrae,,jewelry,Nightwalker,15,--,4,1,12.5,25,0.1,--,,12.5,--,1,Macabre necklace made from vertebrae,0.1,1270,Nightwalker,Sold to Ulthirmbor,,,
Sold to Ulthirmbor,0.1,22.5,25,1,Obsidian medallion - finely carved,,jewelry,Nightwalker,20,--,15,0.9,25,50,0.1,--,,25,--,1,Obsidian medallion - finely carved,0.1,1271,Nightwalker,Sold to Ulthirmbor,,,
Sold to Ulthirmbor,0.1,360,400,1,Platinum skull amulet set with black diamonds - formerly unholy symbol,,jewelry,Nightwalker,20,800,20,0.9,400,800,0.1,--,,400,800,1,Platinum skull amulet set with black diamonds - formerly unholy symbol,0.1,1272,Nightwalker,Sold to Ulthirmbor,,,
Sold to Ulthirmbor,0.1,135,150,1,Platinum unholy symbol (300 gp),,jewelry,Nightwalker,20,--,10,0.9,150,300,0.1,--,,150,--,1,Platinum unholy symbol (300 gp),0.1,1273,Nightwalker,Sold to Ulthirmbor,,,
Sold to Ulthirmbor,0.1,50,250,1,Ruby holy symbol of Erythnul (500 gp),,jewelry,Nightwalker,20,--,10,0.2,250,500,0.1,--,,250,--,1,Ruby holy symbol of Erythnul (500 gp),0.1,1274,Nightwalker,Sold to Ulthirmbor,,,
Sold to Ulthirmbor,0.1,45,50,1,Silver amulet with obscuring veil design,,jewelry,Nightwalker,20,--,13,0.9,50,100,0.1,--,,50,--,1,Silver amulet with obscuring veil design,0.1,1275,Nightwalker,Sold to Ulthirmbor,,,
Sold to Ulthirmbor,0.1,22.5,25,1,Silver phylactery - religious symbol,,jewelry,Nightwalker,20,--,6,0.9,25,50,0.1,--,,25,--,1,Silver phylactery - religious symbol,0.1,1276,Nightwalker,Sold to Ulthirmbor,,,
Sold to Ulthirmbor,0.1,22.5,25,1,Silver ring - elegant design,,jewelry,Nightwalker,20,--,15,0.9,25,50,0.1,--,,25,--,1,Silver ring - elegant design,0.1,1277,Nightwalker,Sold to Ulthirmbor,,,
Sold to Ulthirmbor,0.1,11.25,12.5,1,Simple silver ring,,jewelry,Nightwalker,15,--,3,0.9,12.5,25,0.1,--,,12.5,--,1,Simple silver ring,0.1,1278,Nightwalker,Sold to Ulthirmbor,,,
Sold to Ulthirmbor,0.1,9,10,1,"Small headband - sized for kobold, silver wire",,jewelry,Nightwalker,15,20,12,0.9,10,20,0.1,--,,10,20,1,"Small headband - sized for kobold, silver wire",0.1,1279,Nightwalker,Sold to Ulthirmbor,,,
Sold to Ulthirmbor,0.1,11.25,12.5,1,Small obsidian amulet - carved with wisdom symbols,,jewelry,Nightwalker,20,25,19,0.9,12.5,25,0.1,--,,12.5,25,1,Small obsidian amulet - carved with wisdom symbols,0.1,1280,Nightwalker,Sold to Ulthirmbor,,,
Sold to Ulthirmbor,1,585,650,1,ceremonial electrum dagger with a star ruby in the pommel,,armament,Myconids,20,1300,16,0.9,650,1300,1,--,,650,1300,1,ceremonial electrum dagger with a star ruby in the pommel,1,1281,Myconids,Sold to Ulthirmbor,,,
Sold to Ulthirmbor,50,742.5,825,1,"masterwork full plate armor, medium size",,armament,Myconids,15,--,9,0.9,825,1650,50,--,,825,--,1,"masterwork full plate armor, medium size",50,1282,Myconids,Sold to Ulthirmbor,,,
Sold to Ulthirmbor,0.1,31.5,35,1,ivory statuette,,art,Myconids,20,70,19,0.9,35,70,0.1,--,,35,70,1,ivory statuette,0.1,1283,Myconids,Sold to Ulthirmbor,,,
,5.6,0,2.8,280,cp,,coin,Myconids,0,0.01,12,,0.01,0.01,0.02,Y,,0.01,2.8,280,cp,5.6,1284,Myconids,,,,
,1.12,0,5.6,56,sp,,coin,Myconids,0,0.1,6,,0.1,0.1,0.02,Y,,0.1,5.6,56,sp,1.12,1285,Myconids,,,,
,0.66,0,33,33,gp,,coin,Myconids,0,1,14,,1,1,0.02,Y,,1,33,33,gp,0.66,1286,Myconids,,,,
Sold to Ulthirmbor,1,18,20,1,"lock, average",,equipment,Myconids,12,40,12,0.9,20,40,1,--,,20,40,1,"lock, average",1,1287,Myconids,Sold to Ulthirmbor,,,
Sold to Ulthirmbor,5,36,40,1,climber's kit,,equipment,Myconids,12,80,12,0.9,40,80,5,--,,40,80,1,climber's kit,5,1288,Myconids,Sold to Ulthirmbor,,,
Sold to Ulthirmbor,1,90,100,1,brass mug with jade inlays,,equipment,Myconids,15,200,17,0.9,100,200,1,--,,100,200,1,brass mug with jade inlays,1,1289,Myconids,Sold to Ulthirmbor,,,
Sold to Ulthirmbor,1,360,400,1,gold and topaz bottle stopper cork,,equipment,Myconids,15,--,2,0.9,400,800,1,--,,400,--,1,gold and topaz bottle stopper cork,1,1290,Myconids,Sold to Ulthirmbor,,,
Phil,1,0,3125,1,Gloves of Swimming and Climbing,faint transmutation,garments,Myconids,25,--,12,,3125,6250,1,Y,,3125,not ID'd,1,fine leather gloves (Faint transmutation); help with climbing,1,1291,Myconids,Phil,,,
,160,0,11500,1,"Nightwalker skin, torn",,corpse,Nightwalker,30,--,19,,11500,23000,160,Y,,11500,--,1,"Nightwalker skin, torn",160,1292,Nightwalker,,,,
Sold to Ulthirmbor,112,64,64,4,"fur-lined cloaks, large",,garments,Fire Giant Squad,12,--,5,1,16,32,28,--,,16,--,4,"fur-lined cloaks, large",112,1293,Fire Giant Squad,Sold to Ulthirmbor,,,
,2.3,0,1150,115,pp,,coin,Duergar Vampire,0,10,5,,10,10,0.02,Y,,10,1150,115,pp,2.3,1294,Duergar Vampire,,,,
Phil,0.03,1200,1125,3,"diamond, clear, (500gp value)",,gem,Duergar Vampire,20,--,15,1.066666667,375,500,0.01,Y,,375,--,3,"diamond, clear, (500gp value)",0.03,1295,Duergar Vampire,Phil,,,
Sold to Ulthirmbor,0.02,16,15,2,obsidian,,gem,Ropers,15,10,20,1.066666667,7.5,10,0.01,--,,7.5,20,2,obsidian,0.02,1296,Ropers,Sold to Ulthirmbor,,,
Sold to Ulthirmbor,0.03,24,22.5,3,hematite,,gem,Ropers,15,--,3,1.066666667,7.5,10,0.01,--,,7.5,--,3,hematite,0.03,1297,Ropers,Sold to Ulthirmbor,,,
Sold to Ulthirmbor,0.01,8,7.5,1,tiger eye agate,,gem,Ropers,15,10,14,1.066666667,7.5,10,0.01,--,,7.5,10,1,tiger eye agate,0.01,1298,Ropers,Sold to Ulthirmbor,,,
Sold to Ulthirmbor,0.04,32,30,4,azurite,,gem,Ropers,15,--,10,1.066666667,7.5,10,0.01,--,,7.5,--,4,azurite,0.04,1299,Ropers,Sold to Ulthirmbor,,,
,40,0,20000,2000,pp,,coin,Ulthirmbor Merchants,,,,,10,10,0.02,Y,,10,0,2000,pp,40,1300,Ulthirmbor Merchants,,,,
,4.06,0,2.03,203,cp,,coin,Ulthirmbor Merchants,,,,,0.01,0.01,0.02,Y,,0.01,0,203,cp,4.06,1301,Ulthirmbor Merchants,,,,
,,,,,,,,,,,,,,,,,,,,,,,1302,,,,,
,,,,,,,,,,,,,,,,,,,,,,,1303,,,,,
,,,,,,,,,,,,,,,,,,,,,,,1304,,,,,
,,,,,,,,,,,,,,,,,,,,,,,1305,,,,,
,,,,,,,,,,,,,,,,,,,,,,,1306,,,,,
,,,,,,,,,,,,,,,,,,,,,,,1307,,,,,
,,,,,,,,,,,,,,,,,,,,,,,1308,,,,,
,,,,,,,,,,,,,,,,,,,,,,,1309,,,,,
,,,,,,,,,,,,,,,,,,,,,,,1310,,,,,
,,,,,,,,,,,,,,,,,,,,,,,1311,,,,,
,,,,,,,,,,,,,,,,,,,,,,,1312,,,,,
,,,,,,,,,,,,,,,,,,,,,,,1313,,,,,
,,,,,,,,,,,,,,,,,,,,,,,1314,,,,,
,,,,,,,,,,,,,,,,,,,,,,,1315,,,,,
,,,,,,,,,,,,,,,,,,,,,,,1316,,,,,
,,,,,,,,,,,,,,,,,,,,,,,1317,,,,,
,,,,,,,,,,,,,,,,,,,,,,,1318,,,,,
,,,,,,,,,,,,,,,,,,,,,,,1319,,,,,
,,,,,,,,,,,,,,,,,,,,,,,1320,,,,,
,,,,,,,,,,1,12,,,,,,,,,,,,1300,,,,,
,,,,,,,,,,1,20,,,,,,,,,,,,1301,,,,,
,,,,,,,,,,1,1,,,,,,,,,,,,1302,,,,,
,,,,,,,,,,1,19,,,,,,,,,,,,1303,,,,,
,,,,,,,,,,1,20,,,,,,,,,,,,1304,,,,,
,,,,,,,,,,1,12,,,,,,,,,,,,1305,,,,,
,,,,,,,,,,1,16,,,,,,,,,,,,1306,,,,,
,,,,,,,,,,1,8,,,,,,,,,,,,1307,,,,,
,,,,,,,,,,1,3,,,,,,,,,,,,1308,,,,,
,,,,,,,,,,1,15,,,,,,,,,,,,1309,,,,,
,,,,,,,,,,1,11,,,,,,,,,,,,1310,,,,,
,,,,,,,,,,1,14,,,,,,,,,,,,1311,,,,,
,,,,,,,,,,1,2,,,,,,,,,,,,1312,,,,,
,,,,,,,,,,1,11,,,,,,,,,,,,1313,,,,,
,,,,,,,,,,1,20,,,,,,,,,,,,1314,,,,,
,,,,,,,,,,1,7,,,,,,,,,,,,1315,,,,,
,,,,,,,,,,1,3,,,,,,,,,,,,1316,,,,,
,,,,,,,,,,1,11,,,,,,,,,,,,1317,,,,,
,,,,,,,,,,1,19,,,,,,,,,,,,1318,,,,,
,,,,,,,,,,1,2,,,,,,,,,,,,1319,,,,,
,,,,,,,,,,1,13,,,,,,,,,,,,1320,,,,,
,,,,,,,,,,1,9,,,,,,,,,,,,1321,,,,,
,,,,,,,,,,1,12,,,,,,,,,,,,1322,,,,,
,,,,,,,,,,1,5,,,,,,,,,,,,1323,,,,,
,,,,,,,,,,1,2,,,,,,,,,,,,1324,,,,,
,,,,,,,,,,1,10,,,,,,,,,,,,1325,,,,,
,,,,,,,,,,1,8,,,,,,,,,,,,1326,,,,,
,,,,,,,,,,1,17,,,,,,,,,,,,1327,,,,,
,,,,,,,,,,1,16,,,,,,,,,,,,1328,,,,,
,,,,,,,,,,1,3,,,,,,,,,,,,1329,,,,,
,,,,,,,,,,1,18,,,,,,,,,,,,1330,,,,,
,,,,,,,,,,1,20,,,,,,,,,,,,1331,,,,,
,,,,,,,,,,1,3,,,,,,,,,,,,1332,,,,,
,,,,,,,,,,1,2,,,,,,,,,,,,1333,,,,,
,,,,,,,,,,1,10,,,,,,,,,,,,1334,,,,,
,,,,,,,,,,1,9,,,,,,,,,,,,1335,,,,,
,,,,,,,,,,1,5,,,,,,,,,,,,1336,,,,,
,,,,,,,,,,1,9,,,,,,,,,,,,1337,,,,,
,,,,,,,,,,1,13,,,,,,,,,,,,1338,,,,,
,,,,,,,,,,1,1,,,,,,,,,,,,1339,,,,,
,,,,,,,,,,1,20,,,,,,,,,,,,1340,,,,,
,,,,,,,,,,1,20,,,,,,,,,,,,1341,,,,,
,,,,,,,,,,1,20,,,,,,,,,,,,1342,,,,,
,,,,,,,,,,1,7,,,,,,,,,,,,1343,,,,,
,,,,,,,,,,1,19,,,,,,,,,,,,1344,,,,,
,,,,,,,,,,1,19,,,,,,,,,,,,1345,,,,,
,,,,,,,,,,1,3,,,,,,,,,,,,1346,,,,,
,,,,,,,,,,1,12,,,,,,,,,,,,1347,,,,,
,,,,,,,,,,1,4,,,,,,,,,,,,1348,,,,,
,,,,,,,,,,1,4,,,,,,,,,,,,1349,,,,,
,,,,,,,,,,1,10,,,,,,,,,,,,1350,,,,,
,,,,,,,,,,1,1,,,,,,,,,,,,1351,,,,,
,,,,,,,,,,1,3,,,,,,,,,,,,1352,,,,,
,,,,,,,,,,1,12,,,,,,,,,,,,1353,,,,,
,,,,,,,,,,1,13,,,,,,,,,,,,1354,,,,,
,,,,,,,,,,1,8,,,,,,,,,,,,1355,,,,,
,,,,,,,,,,1,16,,,,,,,,,,,,1356,,,,,
,,,,,,,,,,1,1,,,,,,,,,,,,1357,,,,,
,,,,,,,,,,1,14,,,,,,,,,,,,1358,,,,,
,,,,,,,,,,1,18,,,,,,,,,,,,1359,,,,,
,,,,,,,,,,1,5,,,,,,,,,,,,1360,,,,,
,,,,,,,,,,1,13,,,,,,,,,,,,1361,,,,,
,,,,,,,,,,1,15,,,,,,,,,,,,1362,,,,,
,,,,,,,,,,1,4,,,,,,,,,,,,1363,,,,,
,,,,,,,,,,1,3,,,,,,,,,,,,1364,,,,,
,,,,,,,,,,1,20,,,,,,,,,,,,1365,,,,,
,,,,,,,,,,1,8,,,,,,,,,,,,1366,,,,,
,,,,,,,,,,1,19,,,,,,,,,,,,1367,,,,,
,,,,,,,,,,1,16,,,,,,,,,,,,1368,,,,,
,,,,,,,,,,1,9,,,,,,,,,,,,1369,,,,,
,,,,,,,,,,1,19,,,,,,,,,,,,1370,,,,,
,,,,,,,,,,1,12,,,,,,,,,,,,1371,,,,,
,,,,,,,,,,1,19,,,,,,,,,,,,1372,,,,,
,,,,,,,,,,1,2,,,,,,,,,,,,1373,,,,,
,,,,,,,,,,1,6,,,,,,,,,,,,1374,,,,,
,,,,,,,,,,1,6,,,,,,,,,,,,1375,,,,,
,,,,,,,,,,1,16,,,,,,,,,,,,1376,,,,,
,,,,,,,,,,1,12,,,,,,,,,,,,1377,,,,,
,,,,,,,,,,1,19,,,,,,,,,,,,1378,,,,,
,,,,,,,,,,1,9,,,,,,,,,,,,1379,,,,,
,,,,,,,,,,1,12,,,,,,,,,,,,1380,,,,,
,,,,,,,,,,1,20,,,,,,,,,,,,1381,,,,,
,,,,,,,,,,1,19,,,,,,,,,,,,1382,,,,,
,,,,,,,,,,1,16,,,,,,,,,,,,1383,,,,,
,,,,,,,,,,1,13,,,,,,,,,,,,1384,,,,,
,,,,,,,,,,1,19,,,,,,,,,,,,1385,,,,,
,,,,,,,,,,1,5,,,,,,,,,,,,1386,,,,,
,,,,,,,,,,1,13,,,,,,,,,,,,1387,,,,,
,,,,,,,,,,1,3,,,,,,,,,,,,1388,,,,,
,,,,,,,,,,1,14,,,,,,,,,,,,1389,,,,,
,,,,,,,,,,1,4,,,,,,,,,,,,1390,,,,,
,,,,,,,,,,1,2,,,,,,,,,,,,1391,,,,,
,,,,,,,,,,1,16,,,,,,,,,,,,1392,,,,,
,,,,,,,,,,1,19,,,,,,,,,,,,1393,,,,,
,,,,,,,,,,1,15,,,,,,,,,,,,1394,,,,,
,,,,,,,,,,1,9,,,,,,,,,,,,1395,,,,,
,,,,,,,,,,1,10,,,,,,,,,,,,1396,,,,,
,,,,,,,,,,1,18,,,,,,,,,,,,1397,,,,,
,,,,,,,,,,1,9,,,,,,,,,,,,1398,,,,,
,,,,,,,,,,1,4,,,,,,,,,,,,1399,,,,,
,,,,,,,,,,1,13,,,,,,,,,,,,1400,,,,,
,,,,,,,,,,1,10,,,,,,,,,,,,1401,,,,,
,,,,,,,,,,1,6,,,,,,,,,,,,1402,,,,,
,,,,,,,,,,1,2,,,,,,,,,,,,1403,,,,,
,,,,,,,,,,1,11,,,,,,,,,,,,1404,,,,,
,,,,,,,,,,1,1,,,,,,,,,,,,1405,,,,,
,,,,,,,,,,1,14,,,,,,,,,,,,1406,,,,,
,,,,,,,,,,1,7,,,,,,,,,,,,1407,,,,,
,,,,,,,,,,1,19,,,,,,,,,,,,1408,,,,,
,,,,,,,,,,1,8,,,,,,,,,,,,1409,,,,,
,,,,,,,,,,1,10,,,,,,,,,,,,1410,,,,,
,,,,,,,,,,1,18,,,,,,,,,,,,1411,,,,,
,,,,,,,,,,1,19,,,,,,,,,,,,1412,,,,,
,,,,,,,,,,1,4,,,,,,,,,,,,1413,,,,,
,,,,,,,,,,1,2,,,,,,,,,,,,1414,,,,,
,,,,,,,,,,1,3,,,,,,,,,,,,1415,,,,,
,,,,,,,,,,1,6,,,,,,,,,,,,1416,,,,,
,,,,,,,,,,1,17,,,,,,,,,,,,1417,,,,,
,,,,,,,,,,1,1,,,,,,,,,,,,1418,,,,,
,,,,,,,,,,1,20,,,,,,,,,,,,1419,,,,,
,,,,,,,,,,1,7,,,,,,,,,,,,1420,,,,,
,,,,,,,,,,1,3,,,,,,,,,,,,1421,,,,,
,,,,,,,,,,1,16,,,,,,,,,,,,1422,,,,,
,,,,,,,,,,1,2,,,,,,,,,,,,1423,,,,,
,,,,,,,,,,1,16,,,,,,,,,,,,1424,,,,,
,,,,,,,,,,1,13,,,,,,,,,,,,1425,,,,,
,,,,,,,,,,1,2,,,,,,,,,,,,1426,,,,,
,,,,,,,,,,1,8,,,,,,,,,,,,1427,,,,,
,,,,,,,,,,1,11,,,,,,,,,,,,1428,,,,,
,,,,,,,,,,1,19,,,,,,,,,,,,1429,,,,,
,,,,,,,,,,1,4,,,,,,,,,,,,1430,,,,,
,,,,,,,,,,1,5,,,,,,,,,,,,1431,,,,,
,,,,,,,,,,1,16,,,,,,,,,,,,1432,,,,,
,,,,,,,,,,1,14,,,,,,,,,,,,1433,,,,,
,,,,,,,,,,1,10,,,,,,,,,,,,1434,,,,,
,,,,,,,,,,1,6,,,,,,,,,,,,1435,,,,,
,,,,,,,,,,1,18,,,,,,,,,,,,1436,,,,,
,,,,,,,,,,1,18,,,,,,,,,,,,1437,,,,,
,,,,,,,,,,1,8,,,,,,,,,,,,1438,,,,,
,,,,,,,,,,1,4,,,,,,,,,,,,1439,,,,,
,,,,,,,,,,1,5,,,,,,,,,,,,1440,,,,,
,,,,,,,,,,1,2,,,,,,,,,,,,1441,,,,,
,,,,,,,,,,1,9,,,,,,,,,,,,1442,,,,,
,,,,,,,,,,1,8,,,,,,,,,,,,1443,,,,,
,,,,,,,,,,1,10,,,,,,,,,,,,1444,,,,,
,,,,,,,,,,1,11,,,,,,,,,,,,1445,,,,,
,,,,,,,,,,1,6,,,,,,,,,,,,1446,,,,,
,,,,,,,,,,1,12,,,,,,,,,,,,1447,,,,,
,,,,,,,,,,1,4,,,,,,,,,,,,1448,,,,,
,,,,,,,,,,1,2,,,,,,,,,,,,1449,,,,,
,,,,,,,,,,1,5,,,,,,,,,,,,1450,,,,,
,,,,,,,,,,1,14,,,,,,,,,,,,1451,,,,,
,,,,,,,,,,1,7,,,,,,,,,,,,1452,,,,,
,,,,,,,,,,1,2,,,,,,,,,,,,1453,,,,,
,,,,,,,,,,1,13,,,,,,,,,,,,1454,,,,,
,,,,,,,,,,1,19,,,,,,,,,,,,1455,,,,,
,,,,,,,,,,1,8,,,,,,,,,,,,1456,,,,,
